Wyszukiwarka Google – zainteresowania: praca
Polska; 2004 – dziś

Zainteresowanie w ujęciu czasowym
Tydzień,praca
2004-01-04 - 2004-01-10,53
2004-01-11 - 2004-01-17,55
2004-01-18 - 2004-01-24,60
2004-01-25 - 2004-01-31,62
2004-02-01 - 2004-02-07,61
2004-02-08 - 2004-02-14,55
2004-02-15 - 2004-02-21,60
2004-02-22 - 2004-02-28,62
2004-02-29 - 2004-03-06,61
2004-03-07 - 2004-03-13,51
2004-03-14 - 2004-03-20,55
2004-03-21 - 2004-03-27,50
2004-03-28 - 2004-04-03,48
2004-04-04 - 2004-04-10,42
2004-04-11 - 2004-04-17,61
2004-04-18 - 2004-04-24,65
2004-04-25 - 2004-05-01,63
2004-05-02 - 2004-05-08,79
2004-05-09 - 2004-05-15,64
2004-05-16 - 2004-05-22,59
2004-05-23 - 2004-05-29,59
2004-05-30 - 2004-06-05,65
2004-06-06 - 2004-06-12,68
2004-06-13 - 2004-06-19,76
2004-06-20 - 2004-06-26,91
2004-06-27 - 2004-07-03,85
2004-07-04 - 2004-07-10,86
2004-07-11 - 2004-07-17,84
2004-07-18 - 2004-07-24,74
2004-07-25 - 2004-07-31,73
2004-08-01 - 2004-08-07,79
2004-08-08 - 2004-08-14,73
2004-08-15 - 2004-08-21,70
2004-08-22 - 2004-08-28,73
2004-08-29 - 2004-09-04,74
2004-09-05 - 2004-09-11,70
2004-09-12 - 2004-09-18,63
2004-09-19 - 2004-09-25,63
2004-09-26 - 2004-10-02,65
2004-10-03 - 2004-10-09,63
2004-10-10 - 2004-10-16,57
2004-10-17 - 2004-10-23,62
2004-10-24 - 2004-10-30,62
2004-10-31 - 2004-11-06,60
2004-11-07 - 2004-11-13,50
2004-11-14 - 2004-11-20,62
2004-11-21 - 2004-11-27,52
2004-11-28 - 2004-12-04,54
2004-12-05 - 2004-12-11,50
2004-12-12 - 2004-12-18,49
2004-12-19 - 2004-12-25,35
2004-12-26 - 2005-01-01,40
2005-01-02 - 2005-01-08,71
2005-01-09 - 2005-01-15,64
2005-01-16 - 2005-01-22,61
2005-01-23 - 2005-01-29,63
2005-01-30 - 2005-02-05,60
2005-02-06 - 2005-02-12,63
2005-02-13 - 2005-02-19,68
2005-02-20 - 2005-02-26,71
2005-02-27 - 2005-03-05,68
2005-03-06 - 2005-03-12,68
2005-03-13 - 2005-03-19,65
2005-03-20 - 2005-03-26,58
2005-03-27 - 2005-04-02,61
2005-04-03 - 2005-04-09,45
2005-04-10 - 2005-04-16,67
2005-04-17 - 2005-04-23,63
2005-04-24 - 2005-04-30,64
2005-05-01 - 2005-05-07,63
2005-05-08 - 2005-05-14,68
2005-05-15 - 2005-05-21,67
2005-05-22 - 2005-05-28,65
2005-05-29 - 2005-06-04,73
2005-06-05 - 2005-06-11,71
2005-06-12 - 2005-06-18,75
2005-06-19 - 2005-06-25,87
2005-06-26 - 2005-07-02,88
2005-07-03 - 2005-07-09,89
2005-07-10 - 2005-07-16,88
2005-07-17 - 2005-07-23,76
2005-07-24 - 2005-07-30,73
2005-07-31 - 2005-08-06,72
2005-08-07 - 2005-08-13,60
2005-08-14 - 2005-08-20,65
2005-08-21 - 2005-08-27,73
2005-08-28 - 2005-09-03,62
2005-09-04 - 2005-09-10,68
2005-09-11 - 2005-09-17,58
2005-09-18 - 2005-09-24,65
2005-09-25 - 2005-10-01,61
2005-10-02 - 2005-10-08,67
